kit_id,brand,model_name,timestamp,region,generation,form_factor,capacity_gb,module_count,is_ecc,speed_mts,cas_latency,voltage,timing_string,die_manufacturer,die_type,true_latency_ns,bandwidth_per_dollar,latency_value_index,speed_premium_ratio,price_per_gb,price_usd,market_segment,recommended_usage,price_status,global_inventory_weeks,fab_utilization_rate,gpu_hbm_trend_gb
MPN-000000,Mushkin,Mushkin DDR5 6400MT/s,2026-05-13,EMEA,DDR5,DIMM,512,2,False,6400,42,1.1,42-44-44-88,Samsung,B-Die,13.125,1.6169,415610.03,8.8352,61.85,31665.53,Enterprise/AI,AI / Data Science,Shortage-Inflated,5.98,0.8543,236.85
MPN-000001,Patriot,Patriot DDR6 (Preview) 16000MT/s,2025-09-15,Greater China,DDR6 (Preview),DIMM,32,4,False,16000,84,1.2,84-86-86-172,Samsung,C-Die,10.5,41.9456,32041.53,3.4058,95.36,3051.57,Consumer,Gaming (AAA),Shortage-Inflated,7.82,0.7558,182.11
MPN-000002,Lexar,Lexar DDR6 (Preview) 12800MT/s,2024-08-27,Latin America,DDR6 (Preview),DIMM,128,2,False,12800,60,1.2,60-62-62-124,Samsung,B-Die,9.375,14.5198,66116.65,1.9678,55.1,7052.44,Enterprise/AI,AI / Data Science,Normal,12.18,0.5981,94.52
MPN-000003,Lexar,Lexar DDR4 4400MT/s,2024-09-30,EMEA,DDR4,DIMM,128,1,False,4400,17,1.4,17-19-19-38,Micron,R-Die,7.7273,43.9518,6188.6,1.9553,6.26,800.88,Enterprise/AI,AI / Data Science,Normal,12.64,0.6121,102.27
MPN-000004,Lexar,Lexar DDR5 5600MT/s,2026-07-12,EMEA,DDR5,SODIMM,48,2,False,5600,32,1.4,32-34-34-68,Samsung,E-Die,11.4286,26.3981,19395.3,5.0509,35.36,1697.09,Consumer,Content Creation,Shortage-Inflated,5.35,0.879,250.54
MPN-000005,ADATA,ADATA DDR5 6800MT/s,2025-12-10,North America,DDR5,DIMM,256,2,False,6800,36,1.4,36-38-38-76,Micron,R-Die,10.5882,4.3158,133462.49,7.0339,49.24,12604.79,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.01,0.7911,201.72
MPN-000006,SK Hynix,SK Hynix DDR5 7600MT/s,2024-02-16,EMEA,DDR5,SODIMM,32,2,False,7600,34,1.4,34-36-36-72,Micron,B-Die,8.9474,273.2926,1990.54,0.9932,6.95,222.47,Consumer,Gaming (AAA),Normal,14.17,0.5189,50.49
MPN-000007,Kingston,Kingston DDR5 8000MT/s,2025-08-12,Europe,DDR5,SODIMM,32,4,False,8000,36,1.1,36-38-38-76,Micron,B-Die,9.0,91.4793,6296.51,3.1233,21.86,699.61,Consumer,Gaming (AAA),Shortage-Inflated,8.07,0.7418,174.35
MPN-000008,Mushkin,Mushkin DDR5 6400MT/s,2024-02-10,Europe,DDR5,DIMM,32,4,False,6400,36,1.4,36-38-38-76,Micron,R-Die,11.25,232.0285,2482.45,0.9851,6.9,220.66,Consumer,Gaming (AAA),Normal,14.89,0.5164,49.12
MPN-000009,Patriot,Patriot DDR4 4400MT/s,2024-07-09,Asia-Pacific,DDR4,DIMM,16,4,False,4400,20,1.35,20-22-22-44,Micron,E-Die,9.0909,641.8661,498.55,1.0711,3.43,54.84,Consumer,Gaming (AAA),Normal,12.99,0.578,83.34
MPN-000010,ADATA,ADATA DDR5 7200MT/s,2025-12-06,Asia-Pacific,DDR5,DIMM,192,2,False,7200,30,1.4,30-32-32-64,Micron,R-Die,8.3333,6.1771,77706.29,6.9381,48.57,9324.76,Enterprise/AI,AI / Data Science,Shortage-Inflated,6.98,0.7895,200.81
MPN-000011,Silicon Power,Silicon Power DDR5 6000MT/s,2024-07-27,North America,DDR5,SODIMM,96,4,True,6000,30,1.35,30-32-32-64,Samsung,C-Die,10.0,37.1873,12907.64,1.9208,13.45,1290.76,Enterprise/AI,AI / Data Science,Normal,12.18,0.5854,87.45
MPN-000012,Crucial,Crucial DDR5 8400MT/s,2025-10-24,Asia-Pacific,DDR5,LRDIMM,128,1,True,8400,34,1.3,34-36-36-72,SK Hynix,D-Die,8.0952,11.8014,46096.33,6.3552,44.49,5694.25,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.67,0.7718,191.0
MPN-000013,SK Hynix,SK Hynix DDR4 2400MT/s,2024-08-09,EMEA,DDR4,SODIMM,128,2,False,2400,16,1.2,16-18-18-36,Samsung,D-Die,13.3333,24.0922,10625.84,1.9456,6.23,796.94,Enterprise/AI,AI / Data Science,Normal,13.01,0.5907,90.41
MPN-000014,ADATA,ADATA DDR4 3600MT/s,2025-08-29,Europe,DDR4,DIMM,64,2,False,3600,14,1.35,14-16-16-32,Samsung,D-Die,7.7778,23.8544,9390.32,5.8952,18.86,1207.33,Enterprise/AI,Content Creation,Shortage-Inflated,8.42,0.7488,178.23
MPN-000015,Silicon Power,Silicon Power DDR5 8400MT/s,2025-03-06,Europe,DDR5,SODIMM,192,2,False,8400,38,1.45,38-40-40-80,Samsung,E-Die,9.0476,14.3982,42227.54,3.4727,24.31,4667.25,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.4,0.6766,138.08
MPN-000016,Samsung,Samsung DDR6 (Preview) 17600MT/s,2025-11-15,North America,DDR6 (Preview),DIMM,128,2,False,17600,60,1.0,60-62-62-124,Micron,R-Die,6.8182,5.9791,160558.92,6.5705,183.97,23548.64,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.06,0.7808,196.02
MPN-000017,TeamGroup,TeamGroup DDR5 7200MT/s,2025-08-14,North America,DDR5,SODIMM,256,4,False,7200,28,1.35,28-30-30-60,SK Hynix,D-Die,7.7778,6.1003,73438.81,5.269,36.88,9442.13,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.92,0.7427,174.81
MPN-000018,TeamGroup,TeamGroup DDR4 3600MT/s,2026-06-08,EMEA,DDR4,LRDIMM,128,2,True,3600,19,1.45,19-21-21-42,Micron,Z-Die,10.5556,7.7163,39397.09,9.1122,29.16,3732.36,Enterprise/AI,AI / Data Science,Shortage-Inflated,5.45,0.865,242.78
MPN-000019,ADATA,ADATA DDR5 7200MT/s,2024-06-02,Greater China,DDR5,DIMM,512,4,False,7200,42,1.4,42-44-44-88,Samsung,C-Die,11.6667,8.3133,80834.37,1.9332,13.53,6928.66,Enterprise/AI,AI / Data Science,Normal,12.97,0.5628,74.9
MPN-000020,Crucial,Crucial DDR4 3200MT/s,2025-05-19,Latin America,DDR4,SODIMM,64,2,False,3200,15,1.45,15-17-17-34,SK Hynix,C-Die,9.375,28.9626,8286.54,4.3159,13.81,883.9,Enterprise/AI,Content Creation,Shortage-Inflated,9.1,0.7069,154.96
